Company,Rank,Year,Revenue (in millions),Profit (in millions)
General Motors Corporation,1,1996,168828.6,
Ford Motor Company,2,1996,137137,
Exxon Corporation,3,1996,110009,
"Wal-Mart Stores, Inc.",4,1996,93627,
AT&T Corp.,5,1996,79609,
International Business Machines Corporation,6,1996,71940,
General Electric Company,7,1996,70028,
Mobil Corporation,8,1996,66724,
Chrysler Corporation,9,1996,53195,
Philip Morris Companies,10,1996,53139,
Prudential Insurance Company of America,11,1996,41330,
State Farm Group,12,1996,40809.9,
"E.I. Du Pont de Nemours and Company, Inc.",13,1996,37607,
"Texaco, Inc.",14,1996,36787,
"Sears, Roebuck & Company",15,1996,35181,
Kmart Corporation,16,1996,34654,
The Procter & Gamble Company,17,1996,33434,
Chevron Corporation,18,1996,32094,
Citicorp,19,1996,31690,
Hewlett-Packard Company,20,1996,31519,
"PepsiCo, Inc.",21,1996,30421,
Metropolitan Life Insurance Co.,22,1996,27977,
Amoco Corporation,23,1996,27665,
"Motorola, Inc.",24,1996,27037,
"American International Group,Inc.",25,1996,25874,
"ConAgra, Inc.",26,1996,24108.9,
The Kroger Company,27,1996,23937.8,
Dayton Hudson Corporation,28,1996,23516,
Lockheed Martin Corporation,29,1996,22853,
United Technologies Corporation,30,1996,22802,
The Allstate Corporation,31,1996,22793,
Federal National Mortgage Association,32,1996,22246,
"Merrill Lynch & Company, Inc.",33,1996,21513,
"J.C. Penney Company, Inc.",34,1996,21419,
"United Parcel Service of America, Inc.",35,1996,21045,
The Dow Chemical Company,36,1996,20957,
BankAmerica Corporation,37,1996,20386,
GTE Corporation,38,1996,19957,
International Paper Company,39,1996,19797,
The Boeing Company,40,1996,19515,
Xerox Corporation,41,1996,18963,
Cigna Corporation,42,1996,18955,
Johnson & Johnson,43,1996,18842,
Loews Corporation,44,1996,18770,
American Stores Company,45,1996,18308.9,
"Price/Costco, Inc.",46,1996,18247.3,
USX Corporation,47,1996,18214,
The Coca-Cola Company,48,1996,18018,
BellSouth Corporation,49,1996,17886,
Sara Lee Corporation,50,1996,17719,
Columbia/HCA Healthcare Corp.,51,1996,17695,
"Fleming Companies, Inc.",52,1996,17501.6,
AMR Corporation,53,1996,16910,
Atlantic Richfield Company,54,1996,16739,
"Merck & Co., Inc.",55,1996,16681.1,
The Travelers Group,56,1996,16583,
"Supervalu, Inc.",57,1996,16563.8,
"Safeway, Inc.",58,1996,16397.5,
NationsBank Corporation,59,1996,16298,
Intel Corporation,60,1996,16202,
New York Life Insurance Company,61,1996,16201.7,
Minnesota Mining & Manufacturing Company,62,1996,16105,
"Caterpillar, Inc.",63,1996,16072,
RJR Nabisco Holdings Corporation,64,1996,16008,
American Express Company,65,1996,15841,
"The Home Depot, Inc.",66,1996,15470.4,
Eastman Kodak Company,67,1996,15269,
MCI Communications Corporation,68,1996,15265,
morg,69,1996,15048.5,
UAL Corporation,70,1996,14943,
Chemical Banking Corporation,71,1996,14884,
Compaq Computer Corporation,72,1996,14755,
AlliedSignal Inc.,73,1996,14346,
McDonnell Douglas Corporation,74,1996,14332,
Georgia-Pacific Corporation,75,1996,14292,
J.P. Morgan & Co. Inc.,76,1996,13838,
Digital Equipment Corporation,77,1996,13813.1,
Kimberly-Clark Corporation,78,1996,13788.6,
Bristol-Myers Squibb Company,79,1996,13767,
Sprint Corporation,80,1996,13599.5,
Phillips Petroleum Company,81,1996,13521,
"Lehman Brothers Holdings, Inc.",82,1996,13476,
Bell Atlantic Corporation,83,1996,13429.5,
