location,timestamp,pm10_ug_m3,pm2_5_ug_m3,carbon_monoxide_ug_m3
City Center,2025-07-27T00:00,4.7,3.1,190.0
City Center,2025-07-27T01:00,4.5,2.9,156.0
City Center,2025-07-27T02:00,4.7,2.8,132.0
City Center,2025-07-27T03:00,6.5,3.2,115.0
City Center,2025-07-27T04:00,10.9,4.9,109.0
City Center,2025-07-27T05:00,3.7,2.4,139.0
City Center,2025-07-27T06:00,4.4,2.8,248.0
City Center,2025-07-27T07:00,4.6,3.4,394.0
City Center,2025-07-27T08:00,6.3,4.8,472.0
City Center,2025-07-27T09:00,9.2,5.6,418.0
City Center,2025-07-27T10:00,12.5,7.0,297.0
City Center,2025-07-27T11:00,13.3,7.3,203.0
City Center,2025-07-27T12:00,16.8,8.2,170.0
City Center,2025-07-27T13:00,18.0,8.4,165.0
City Center,2025-07-27T14:00,15.8,8.1,179.0
City Center,2025-07-27T15:00,14.3,7.1,224.0
City Center,2025-07-27T16:00,12.0,6.4,288.0
City Center,2025-07-27T17:00,14.7,8.1,330.0
City Center,2025-07-27T18:00,15.2,9.6,328.0
City Center,2025-07-27T19:00,16.2,10.5,305.0
City Center,2025-07-27T20:00,15.6,10.4,281.0
City Center,2025-07-27T21:00,14.5,9.9,267.0
City Center,2025-07-27T22:00,13.7,9.5,254.0
City Center,2025-07-27T23:00,12.3,8.6,234.0
City Center,2025-07-28T00:00,9.7,6.8,199.0
City Center,2025-07-28T01:00,8.3,5.7,158.0
City Center,2025-07-28T02:00,8.5,5.5,129.0
City Center,2025-07-28T03:00,9.2,5.7,118.0
City Center,2025-07-28T04:00,9.7,6.0,121.0
City Center,2025-07-28T05:00,8.1,5.4,140.0
City Center,2025-07-28T06:00,9.4,5.7,193.0
City Center,2025-07-28T07:00,8.2,5.6,264.0
City Center,2025-07-28T08:00,6.7,5.0,305.0
City Center,2025-07-28T09:00,5.2,3.8,286.0
City Center,2025-07-28T10:00,7.4,4.3,238.0
City Center,2025-07-28T11:00,9.5,4.9,203.0
City Center,2025-07-28T12:00,11.0,5.2,195.0
City Center,2025-07-28T13:00,12.4,5.7,200.0
City Center,2025-07-28T14:00,14.2,6.0,218.0
City Center,2025-07-28T15:00,14.1,6.2,257.0
City Center,2025-07-28T16:00,15.3,6.4,308.0
City Center,2025-07-28T17:00,23.7,9.8,346.0
City Center,2025-07-28T18:00,22.3,11.1,360.0
City Center,2025-07-28T19:00,20.3,11.4,360.0
City Center,2025-07-28T20:00,18.6,11.0,350.0
City Center,2025-07-28T21:00,17.9,10.6,330.0
City Center,2025-07-28T22:00,17.7,10.7,300.0
City Center,2025-07-28T23:00,17.1,10.4,265.0
City Center,2025-07-29T00:00,15.5,9.5,221.0
City Center,2025-07-29T01:00,13.8,8.6,172.0
City Center,2025-07-29T02:00,12.1,7.7,139.0
City Center,2025-07-29T03:00,10.4,6.7,127.0
City Center,2025-07-29T04:00,9.1,6.0,130.0
City Center,2025-07-29T05:00,6.0,4.0,155.0
City Center,2025-07-29T06:00,5.9,3.9,226.0
City Center,2025-07-29T07:00,7.0,5.1,318.0
City Center,2025-07-29T08:00,7.0,5.3,367.0
City Center,2025-07-29T09:00,11.2,6.1,328.0
City Center,2025-07-29T10:00,7.1,4.4,246.0
City Center,2025-07-29T11:00,7.7,4.6,186.0
City Center,2025-07-29T12:00,13.6,5.7,172.0
City Center,2025-07-29T13:00,7.2,3.9,181.0
City Center,2025-07-29T14:00,7.5,3.8,202.0
City Center,2025-07-29T15:00,7.7,3.7,244.0
City Center,2025-07-29T16:00,6.0,3.3,299.0
City Center,2025-07-29T17:00,8.9,5.3,333.0
City Center,2025-07-29T18:00,8.8,6.4,328.0
City Center,2025-07-29T19:00,9.6,7.1,303.0
City Center,2025-07-29T20:00,10.4,7.4,281.0
City Center,2025-07-29T21:00,10.7,7.4,274.0
City Center,2025-07-29T22:00,10.7,7.3,270.0
City Center,2025-07-29T23:00,9.9,6.7,257.0
City Center,2025-07-30T00:00,8.1,5.4,222.0
City Center,2025-07-30T01:00,6.9,4.5,178.0
City Center,2025-07-30T02:00,6.8,4.2,147.0
City Center,2025-07-30T03:00,6.6,4.0,136.0
City Center,2025-07-30T04:00,6.0,3.6,137.0
City Center,2025-07-30T05:00,4.5,2.9,152.0
City Center,2025-07-30T06:00,4.7,3.0,191.0
City Center,2025-07-30T07:00,5.7,4.1,242.0
City Center,2025-07-30T08:00,5.5,4.0,273.0
City Center,2025-07-30T09:00,6.7,4.4,262.0
City Center,2025-07-30T10:00,10.0,5.0,231.0
City Center,2025-07-30T11:00,9.7,4.8,208.0
City Center,2025-07-30T12:00,12.5,5.2,201.0
City Center,2025-07-30T13:00,17.0,6.2,202.0
City Center,2025-07-30T14:00,19.0,6.9,219.0
City Center,2025-07-30T15:00,19.6,7.1,268.0
City Center,2025-07-30T16:00,16.4,6.6,333.0
City Center,2025-07-30T17:00,29.6,12.0,378.0
City Center,2025-07-30T18:00,28.3,12.7,385.0
