location,timestamp,temperature_c,relative_humidity_percent
City Center,2025-08-05T00:00,22.1,89
City Center,2025-08-05T01:00,21.9,90
City Center,2025-08-05T02:00,21.7,91
City Center,2025-08-05T03:00,21.5,91
City Center,2025-08-05T04:00,21.5,91
City Center,2025-08-05T05:00,21.7,92
City Center,2025-08-05T06:00,21.6,93
City Center,2025-08-05T07:00,21.8,91
City Center,2025-08-05T08:00,22.6,88
City Center,2025-08-05T09:00,23.5,84
City Center,2025-08-05T10:00,24.4,81
City Center,2025-08-05T11:00,26.2,72
City Center,2025-08-05T12:00,26.5,71
City Center,2025-08-05T13:00,27.1,69
City Center,2025-08-05T14:00,27.5,67
City Center,2025-08-05T15:00,27.6,68
City Center,2025-08-05T16:00,26.8,72
City Center,2025-08-05T17:00,26.7,73
City Center,2025-08-05T18:00,25.0,80
City Center,2025-08-05T19:00,24.2,85
City Center,2025-08-05T20:00,23.7,87
City Center,2025-08-05T21:00,22.7,90
City Center,2025-08-05T22:00,22.2,92
City Center,2025-08-05T23:00,21.8,93
City Center,2025-08-06T00:00,21.6,93
City Center,2025-08-06T01:00,21.5,94
City Center,2025-08-06T02:00,21.4,94
City Center,2025-08-06T03:00,21.3,93
City Center,2025-08-06T04:00,21.1,93
City Center,2025-08-06T05:00,20.7,94
City Center,2025-08-06T06:00,20.7,94
City Center,2025-08-06T07:00,21.2,91
City Center,2025-08-06T08:00,22.5,83
City Center,2025-08-06T09:00,24.1,75
City Center,2025-08-06T10:00,25.6,68
City Center,2025-08-06T11:00,26.5,66
City Center,2025-08-06T12:00,27.5,62
City Center,2025-08-06T13:00,28.0,58
City Center,2025-08-06T14:00,28.7,56
City Center,2025-08-06T15:00,28.8,55
City Center,2025-08-06T16:00,28.4,56
City Center,2025-08-06T17:00,26.3,68
City Center,2025-08-06T18:00,25.6,71
City Center,2025-08-06T19:00,23.8,81
City Center,2025-08-06T20:00,22.8,85
City Center,2025-08-06T21:00,22.5,85
City Center,2025-08-06T22:00,22.3,87
City Center,2025-08-06T23:00,22.9,87
City Center,2025-08-07T00:00,22.7,87
City Center,2025-08-07T01:00,22.3,88
City Center,2025-08-07T02:00,21.9,91
City Center,2025-08-07T03:00,21.6,92
City Center,2025-08-07T04:00,21.3,91
City Center,2025-08-07T05:00,21.2,92
City Center,2025-08-07T06:00,21.1,93
City Center,2025-08-07T07:00,21.4,92
City Center,2025-08-07T08:00,22.2,89
City Center,2025-08-07T09:00,23.5,81
City Center,2025-08-07T10:00,25.2,72
City Center,2025-08-07T11:00,26.2,67
City Center,2025-08-07T12:00,27.0,64
City Center,2025-08-07T13:00,27.9,60
City Center,2025-08-07T14:00,27.9,60
City Center,2025-08-07T15:00,27.8,61
City Center,2025-08-07T16:00,27.7,61
City Center,2025-08-07T17:00,26.9,66
City Center,2025-08-07T18:00,26.2,69
City Center,2025-08-07T19:00,25.5,73
City Center,2025-08-07T20:00,24.7,76
City Center,2025-08-07T21:00,23.8,81
City Center,2025-08-07T22:00,23.1,83
City Center,2025-08-07T23:00,22.6,85
City Center,2025-08-08T00:00,22.2,87
City Center,2025-08-08T01:00,22.0,88
City Center,2025-08-08T02:00,21.9,89
City Center,2025-08-08T03:00,21.7,91
City Center,2025-08-08T04:00,21.6,91
City Center,2025-08-08T05:00,21.4,92
City Center,2025-08-08T06:00,21.2,93
City Center,2025-08-08T07:00,21.6,91
City Center,2025-08-08T08:00,22.5,85
City Center,2025-08-08T09:00,24.0,78
City Center,2025-08-08T10:00,25.6,71
City Center,2025-08-08T11:00,26.3,68
City Center,2025-08-08T12:00,27.0,67
City Center,2025-08-08T13:00,27.6,66
City Center,2025-08-08T14:00,27.4,67
City Center,2025-08-08T15:00,26.5,71
City Center,2025-08-08T16:00,25.8,74
City Center,2025-08-08T17:00,26.6,71
City Center,2025-08-08T18:00,25.6,77
City Center,2025-08-08T19:00,24.6,81
City Center,2025-08-08T20:00,23.9,85
City Center,2025-08-08T21:00,23.6,87
City Center,2025-08-08T22:00,22.9,88
City Center,2025-08-08T23:00,22.7,88
City Center,2025-08-09T00:00,22.3,89
City Center,2025-08-09T01:00,21.9,91
City Center,2025-08-09T02:00,21.6,92
City Center,2025-08-09T03:00,21.4,92
City Center,2025-08-09T04:00,21.2,93
City Center,2025-08-09T05:00,21.2,93
City Center,2025-08-09T06:00,21.1,93
City Center,2025-08-09T07:00,21.4,92
City Center,2025-08-09T08:00,22.0,89
City Center,2025-08-09T09:00,23.0,85
City Center,2025-08-09T10:00,24.1,79
City Center,2025-08-09T11:00,25.1,76
City Center,2025-08-09T12:00,25.9,70
City Center,2025-08-09T13:00,26.1,72
City Center,2025-08-09T14:00,26.0,73
City Center,2025-08-09T15:00,25.9,72
City Center,2025-08-09T16:00,25.4,74
City Center,2025-08-09T17:00,25.5,72
City Center,2025-08-09T18:00,25.0,77
City Center,2025-08-09T19:00,24.2,81
City Center,2025-08-09T20:00,23.8,83
City Center,2025-08-09T21:00,23.3,85
City Center,2025-08-09T22:00,22.7,86
City Center,2025-08-09T23:00,21.9,89
City Center,2025-08-10T00:00,21.6,91
City Center,2025-08-10T01:00,21.4,93
City Center,2025-08-10T02:00,21.2,94
City Center,2025-08-10T03:00,21.0,95
City Center,2025-08-10T04:00,20.9,95
City Center,2025-08-10T05:00,20.8,94
City Center,2025-08-10T06:00,20.8,95
City Center,2025-08-10T07:00,21.1,93
City Center,2025-08-10T08:00,22.0,87
City Center,2025-08-10T09:00,23.0,80
City Center,2025-08-10T10:00,23.8,76
City Center,2025-08-10T11:00,24.5,74
City Center,2025-08-10T12:00,25.3,72
City Center,2025-08-10T13:00,25.3,72
City Center,2025-08-10T14:00,25.7,70
City Center,2025-08-10T15:00,25.5,72
City Center,2025-08-10T16:00,24.4,76
City Center,2025-08-10T17:00,23.0,85
City Center,2025-08-10T18:00,22.7,87
City Center,2025-08-10T19:00,22.1,90
City Center,2025-08-10T20:00,21.9,91
City Center,2025-08-10T21:00,21.7,91
City Center,2025-08-10T22:00,21.5,92
City Center,2025-08-10T23:00,21.1,93
City Center,2025-08-11T00:00,20.9,94
City Center,2025-08-11T01:00,20.7,94
City Center,2025-08-11T02:00,20.6,94
City Center,2025-08-11T03:00,20.5,94
City Center,2025-08-11T04:00,20.3,93
City Center,2025-08-11T05:00,20.0,94
City Center,2025-08-11T06:00,20.0,94
City Center,2025-08-11T07:00,20.2,92
City Center,2025-08-11T08:00,20.9,89
City Center,2025-08-11T09:00,22.0,82
City Center,2025-08-11T10:00,22.9,77
City Center,2025-08-11T11:00,24.3,74
City Center,2025-08-11T12:00,24.7,72
City Center,2025-08-11T13:00,25.0,70
City Center,2025-08-11T14:00,24.9,69
City Center,2025-08-11T15:00,25.2,67
City Center,2025-08-11T16:00,24.6,70
City Center,2025-08-11T17:00,23.9,78
City Center,2025-08-11T18:00,23.2,82
City Center,2025-08-11T19:00,22.4,86
City Center,2025-08-11T20:00,22.0,89
City Center,2025-08-11T21:00,21.7,90
City Center,2025-08-11T22:00,21.4,91
City Center,2025-08-11T23:00,21.4,91
City Center,2025-08-12T00:00,20.9,92
City Center,2025-08-12T01:00,20.7,92
City Center,2025-08-12T02:00,20.3,93
City Center,2025-08-12T03:00,20.1,93
City Center,2025-08-12T04:00,20.0,93
City Center,2025-08-12T05:00,20.0,93
City Center,2025-08-12T06:00,19.9,93
City Center,2025-08-12T07:00,20.2,92
City Center,2025-08-12T08:00,21.0,88
City Center,2025-08-12T09:00,22.4,80
City Center,2025-08-12T10:00,23.6,73
City Center,2025-08-12T11:00,24.2,72
City Center,2025-08-12T12:00,24.5,71
City Center,2025-08-12T13:00,25.1,68
City Center,2025-08-12T14:00,25.8,65
City Center,2025-08-12T15:00,25.2,67
City Center,2025-08-12T16:00,24.7,72
City Center,2025-08-12T17:00,24.8,70
City Center,2025-08-12T18:00,23.7,79
City Center,2025-08-12T19:00,22.7,85
City Center,2025-08-12T20:00,21.8,88
City Center,2025-08-12T21:00,21.3,91
City Center,2025-08-12T22:00,21.1,92
City Center,2025-08-12T23:00,21.0,92
City Center,2025-08-13T00:00,20.8,92
City Center,2025-08-13T01:00,20.6,93
City Center,2025-08-13T02:00,20.4,93
City Center,2025-08-13T03:00,20.2,93
City Center,2025-08-13T04:00,20.1,93
City Center,2025-08-13T05:00,20.0,93
City Center,2025-08-13T06:00,19.9,93
City Center,2025-08-13T07:00,20.1,93
